id,created_at,text
1494494627486785540,2022-02-18 02:11:00+00:00,"b""Federico Macheda's story so far, told by the man himself! \xf0\x9f\x8e\x99\xf0\x9f\x87\xae\xf0\x9f\x87\xb9\n\n#MUFC"""
1494427183258890241,2022-02-17 21:43:00+00:00,b'\xf0\x9f\x94\xad #LEEMUN is in our sights! \xe2\x9c\x8a\n\n#MUFC'
1494406043840876550,2022-02-17 20:19:00+00:00,"b""\xf0\x9f\x91\x80 @McTominay10 has revealed what he'd like to add to his game... \xe2\x9a\xbd\xef\xb8\x8f\n\n#MUFC"""
1494386163297112093,2022-02-17 19:00:00+00:00,"b""Our #MUAcademy U18s' #FAYouthCup quarter-final at Old Trafford kicks off exactly one week from now! \xf0\x9f\x8f\x86\xe2\x9a\xbd\xef\xb8\x8f\n\nGrab yours\xe2\x80\xa6 https://t.co/tfThSLsX3L"""
1494372070674870278,2022-02-17 18:04:00+00:00,"b""\xf0\x9f\x93\xa2 Coming up in today's \xf0\x9d\x97\xa8\xf0\x9d\x97\xbb\xf0\x9d\x97\xb6\xf0\x9d\x98\x81\xf0\x9d\x97\xb2\xf0\x9d\x97\xb1 \xf0\x9d\x97\x97\xf0\x9d\x97\xae\xf0\x9d\x97\xb6\xf0\x9d\x97\xb9\xf0\x9d\x98\x86 episode...\n\n\xf0\x9f\x94\xba @B_Fernandes8 on #LEEMUN\n\xf0\x9f\x94\xba Fresh training footage\n\xf0\x9f\x94\xba More on\xe2\x80\xa6 https://t.co/PVvzR8qUTt"""
1494346121728204800,2022-02-17 16:20:53+00:00,b'Things you love to see... \xf0\x9f\x98\x8d\n\n\xf0\x9f\x87\xba\xf0\x9f\x87\xbe @ECavaniOfficial x @RaphaelVarane \xf0\x9f\x87\xab\xf0\x9f\x87\xb7\n\n#MUFC | #LEEMUN'
1494345394536558595,2022-02-17 16:18:00+00:00,b'\xf0\x9f\x87\xa7\xf0\x9f\x87\xb7 @AT13Oficial\n\n#MUFC | #LEEMUN https://t.co/rZTTWDfssp'
1494343884234649603,2022-02-17 16:12:00+00:00,b'Full focus on Sunday! \xe2\x9c\x8a\xf0\x9f\x94\xb4\n\n#MUFC | #LEEMUN https://t.co/26MWuAmf2M'
1494342374339891204,2022-02-17 16:06:00+00:00,b'\xf0\x9f\x92\xab @MarcusRashford\n\n#MUFC | #LEEMUN https://t.co/MVLmjB8WdX'
1494340871868739590,2022-02-17 16:00:02+00:00,b'Ready to work! \xf0\x9f\x93\xb8\xf0\x9f\x92\xaa\n\n#MUFC | #LEEMUN https://t.co/XbwgriwLlY'
1494328281893687296,2022-02-17 15:10:00+00:00,"b""All eyes on Sunday's trip to Yorkshire \xe2\x9a\xaa\xef\xb8\x8f\xe2\x9a\x94\xef\xb8\x8f\xf0\x9f\x94\xb4\n\n#MUFC | #LEEMUN"""
